"001_0011","013_0002","013_0006","013_1001","013_1002","013_1004","013_2001","019_0011","023_1004","037_1103","037_5005","065_8001","071_0306","071_1234","071_2002","073_1022","079_2004","083_1013","083_1025","083_2004"
0.8,0.7,0.7,0.8,1.1,1.3,1.1,0.1,0.5,0.2,0.4,0,0.15,0.1,0.4,0,0,0,0,0
0.7,0.6,0.5,1,1,1.2,1,0.1,0.56,0.2,0.4,0,0.166666666666667,0.1,0.3,0,0,0,0,0
0.6,0.7,0.6,1.1,1,1.2,1,0.1,0.531818181818182,0.2,0.4,0,0.233333333333333,0.1,0.3,0,0,0,0,0
0.533333333333333,0.65,0.6125,1.1,1.11666666666667,1.23333333333333,1.375,0.1,0.55,0.3,0.4,0,0.233333333333333,0.1,0.25,0,0,0,0,0
0.5125,0.6375,0.8,1.4,1.1,1.2375,2.2,0.1,0.45,0.2,0.5,0,0.166666666666667,0.1,0.4,0.009090909090909,0,0,0,0
0.4,0.6,0.6,1.2,1.4,1.2,1.7,0.1,0.45,0.3,0.5,0,0.166666666666667,0.1,0.3,0,0,0,0,0
0.4,0.7,0.6,1,1.2,1.3,1.5,0.1,0.5,0.15,0.6,0,0.183333333333333,0.1,0.4,0,0,0,0,0
0.3,0.6,0.5,1,1,1.2,1.3,0.1,0.55,0.15,0.95,0,0.2,0.1,0.3,0,0,0,0,0
0.5,0.6,0.6,0.9,1.1,1.4,1.3,0.1,0.55,0.25,0.95,0,0.216666666666667,0.1,0.45,0,0,0,0,0
0.5,0.6,0.5,0.9,1.1,1.4,1.2,0.1,0.65,0.3,1.2,0,0.171428571428571,0.1,0.55,0,0,0,0,0
0.5,0.6,0.5,1,1.3,1.2,1.3,0.2,0.5,0.45,0.9,0,0.1,0.1,0.45,0,0,0,0,0
0.6,0.6,0.8,0.9,1.4,1.3,2.1,0.2,0.5,0.4,1.25,0,0.085714285714286,0.1,0.4,0,0,0,0,0
0.5,0.5,0.7,0.8,1.5,1.3,2,0.2,0.65,0.4,1.55,0,0.071428571428572,0.2,0.4,0,0,0,0,0
