Sri-Aurobindo-Marg-DPCC,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,Najafgarh-DPCC
31.55,29.2,28.73,35.12,33.95,28.45,29.7,29.02,30.5,27.25,29.85,29.4,32.88,29.65,33.55,28.1
31.38,29.27,26.73,34.65,33.58,28.8,29.65,28.8,29.8,27.15,27.92,25.92,32.77,28.95,33.45,28.52
31.52,29.12,25.4,32.62,31.73,27.73,26.85,28.7,27.25,27.15,24.95,25.08,32.45,26.15,32.67,28.0
31.32,28.27,25.23,32.48,31.48,27.42,25.27,27.83,27.5,27.12,26.1,25.35,31.7,26.2,30.45,27.6
31.0,27.6,25.6,32.97,31.85,27.07,25.6,27.17,27.7,26.68,26.6,25.38,31.62,26.62,30.48,27.58
30.68,28.03,26.05,32.77,31.98,27.27,25.95,27.42,28.07,26.6,26.8,25.9,31.8,26.88,30.95,27.65
31.62,28.4,26.5,33.12,32.62,28.0,26.9,28.0,28.8,26.93,27.57,26.53,32.05,27.6,31.68,28.35
32.8,28.82,27.12,33.7,33.2,29.65,26.83,28.52,29.5,27.75,28.67,26.9,32.4,28.75,32.05,30.52
33.38,28.43,29.08,34.6,33.62,29.9,28.75,28.4,29.73,28.9,29.35,28.48,32.38,28.9,32.58,30.28
34.62,30.2,31.2,36.98,35.25,31.62,31.0,29.42,31.5,29.82,30.9,31.88,33.28,30.82,34.62,34.02
37.12,32.2,33.35,37.72,37.23,34.83,33.05,31.68,33.7,32.4,33.53,33.73,34.55,33.48,36.52,35.22
38.55,33.62,34.38,40.08,38.1,35.6,34.1,33.45,35.7,34.12,35.0,35.35,35.05,34.62,38.73,35.28
38.52,34.3,34.83,40.33,38.12,35.85,34.05,34.3,35.58,33.98,35.42,35.3,35.27,34.8,39.1,37.38
39.3,35.15,34.65,40.17,38.62,36.05,35.2,35.2,36.33,35.02,36.2,34.73,35.52,35.02,39.23,35.55
31.75,32.6,35.42,40.48,37.7,35.67,35.05,34.182857142857145,35.88,32.3,36.28,36.3,35.3,34.95,39.48,35.8
29.4,27.3,30.75,39.22,36.33,31.3,32.97,28.88,33.52,25.93,30.75,28.52,33.83,32.15,36.97,33.45
30.52,26.9,30.18,36.02,35.48,31.48,30.58,27.43,32.7,25.85,29.85,29.55,33.02,31.0,34.58,32.27
31.48,28.0,30.65,36.05,35.17,31.75,30.67,28.35,32.17,26.52,30.65,29.85,33.12,31.32,34.55,31.5
31.15,28.38,29.85,35.62,34.48,31.38,30.15,28.82,31.52,26.77,29.7,29.12,33.12,31.1,34.35,29.88
30.55,28.17,28.65,34.72,33.85,31.25,29.62,28.32,31.1,26.65,28.18,27.9,32.88,30.17,33.65,29.1
30.02,27.82,28.1,34.25,33.92,30.75,29.68,28.3,30.77,26.35,27.85,27.85,32.82,29.73,33.42,28.65
29.9,27.62,28.0,34.28,33.72,30.07,29.73,30.411428571428576,30.7,26.1,28.45,27.67,32.8,29.62,33.42,23.92
29.7,27.42,28.12,34.33,33.48,29.62,29.35,30.075714285714287,30.1,25.9,28.52,27.78,32.75,29.4,33.25,27.95
29.58,27.38,27.9,33.95,33.27,29.42,28.7,27.98,30.08,25.7,28.2,27.4,32.62,28.95,32.8,27.68
29.32,27.15,27.5,33.77,33.38,29.15,28.8,27.73,29.85,25.6,27.88,26.8,32.48,29.02,32.62,27.43
29.12,26.98,27.35,33.58,33.25,29.0,28.65,27.5,29.55,25.38,27.45,26.65,32.3,28.73,32.47,27.35
28.8,26.7,26.88,33.15,32.92,28.62,28.45,27.27,29.1,25.12,27.1,26.3,32.2,28.48,32.25,27.22
28.9,26.8,26.52,32.78,32.75,28.43,28.45,27.15,28.62,25.12,26.88,25.98,32.18,28.45,32.2,26.93
28.73,27.02,26.35,32.7,32.55,28.4,27.98,27.0,28.67,25.2,26.9,26.08,32.1,28.2,32.3,26.85
28.93,27.25,26.62,33.52,32.68,28.43,27.75,28.1125,28.52,25.32,26.75,26.18,32.1,28.0,32.17,26.9
29.73,27.53,28.299999999999997,33.95,33.52,29.8,29.03,28.402500000000003,29.5,25.8,27.65,27.38,32.2,28.27,32.6,27.73
32.08,28.83,29.907,36.3,35.17,31.62,30.25,29.6,31.45,28.02,30.6,29.98,32.95,29.3,34.0,30.15
33.6,30.85,31.82,37.3,36.0,33.17,32.05,32.23,33.33,30.55,33.08,32.5,33.85,30.7,36.17,32.58
36.27,32.3,33.093333333333334,38.7,37.17,34.2,33.67,33.7,34.9,32.25,34.35,33.95,34.8,31.85,37.67,34.95
