Dwarka-S8-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
977.6,974.92,978.5,979.67,986.0133333333333,978.48,976.48,977.9,978.88,980.7,982.0,977.67,978.35,971.4,975.9,979.58,979.55,978.0,980.75,978.88,973.8,975.8499999999999,979.42
977.05,974.44,977.88,979.75,984.9833333333332,978.15,976.42,977.53,978.4,980.12,982.0,977.22,977.92,971.38,975.38,979.3,979.5,977.88,980.22,978.58,973.8,975.5722222222222,978.9
976.42,974.08,977.45,978.75,986.5539999999999,977.78,976.35,976.9,977.92,980.1,981.98,976.35,977.55,971.38,974.73,978.8,978.85,977.3,979.8,977.98,973.77,975.3866666666667,978.38
976.42,973.82,977.45,978.6,989.2714285714285,977.45,976.5,976.7,977.73,979.7,982.0,976.55,977.27,971.32,974.7,978.4,978.4,977.17,979.67,977.7,973.9,975.2866666666666,978.17
976.2,973.78,977.42,978.8,988.7057142857142,977.58,976.45,976.85,977.85,979.73,981.95,976.55,977.42,971.35,974.6,978.45,978.5,977.3,979.58,977.75,973.9,975.411111111111,978.28
976.6,973.98,977.62,979.03,989.1314285714286,977.77,976.48,977.12,978.08,979.92,981.9,976.77,977.58,971.32,974.9,978.68,978.77,977.4,979.75,977.98,973.9,975.7766666666666,978.58
976.62,974.17,977.75,979.3,984.3185714285715,977.95,976.45,977.27,978.2,980.15,981.9,976.9,977.77,971.4,975.02,978.92,978.92,977.83,979.95,978.2,973.88,976.201111111111,978.68
977.0,974.68,978.4,979.93,978.42125,978.73,976.52,977.88,978.85,980.9,981.9,977.38,978.48,971.4,975.42,979.45,979.33,978.35,980.6,978.65,973.8,976.6644444444444,979.15
977.4,975.34,979.05,980.42,975.0925,979.27,976.58,978.45,979.4,981.38,981.9,978.05,979.05,971.38,976.12,980.12,980.08,978.73,981.23,979.47,973.53,976.9133333333334,979.75
974.4355555555555,975.85,979.62,980.75,978.0225,979.6,976.58,978.9,979.8,981.9,981.92,978.65,979.45,971.32,976.78,980.4,980.42,979.1,981.72,979.8,973.38,977.0444444444444,980.17
974.4644444444444,975.96,979.42,980.88,978.0425,979.53,976.65,978.85,979.75,981.8,981.9,978.5,979.38,971.4,976.75,980.55,980.75,979.3,981.75,980.05,973.32,977.13,980.17
974.3133333333333,975.69,979.05,980.45,996.85,979.1,976.73,978.45,979.3,981.38,982.0,978.27,978.95,971.35,976.53,980.27,980.47,978.85,981.53,979.7,973.3,977.0499999999998,979.78
976.3,974.81,978.25,979.6,997.05,978.3,976.65,977.65,978.47,980.58,981.95,977.2,978.05,971.38,975.65,979.48,979.65,978.0,980.6,978.92,973.23,979.0,978.92
976.15,974.35,977.75,979.2,998.45,977.9,976.73,977.22,977.98,980.28,981.98,976.9,977.62,971.38,975.12,979.12,979.27,977.73,980.15,978.42,973.2,978.85,978.55
975.75,973.59,977.02,978.2,977.8628571428571,976.98,976.62,976.23,977.12,979.32,982.0,972.4842857142856,976.68,971.42,974.57,978.3,978.4,976.55,979.32,977.6,971.75,978.12,977.78
975.1,972.6,976.2,977.02,999.5,975.8,976.4,975.42,976.2,978.15,981.95,975.33,975.65,971.3871428571429,973.98,977.03,977.33,975.4,978.35,976.45,971.8,977.3,977.0
974.33,971.88,975.5,976.77,984.32,975.45,976.35,975.2,976.0,977.75,981.9,974.55,975.3,971.3816666666667,972.82,976.55,976.88,975.08,977.65,976.05,971.8,976.68,976.65
974.05,971.78,975.6,976.75,986.4842857142858,975.42,976.25,975.03,975.9,977.73,981.9,974.38,975.3,971.3783333333334,972.8,972.9377777777778,976.62,974.8,977.52,975.8,971.8,976.52,976.48
974.27,972.1,975.77,977.03,989.4,975.8,976.32,975.33,976.1,977.95,981.9,974.75,975.62,971.3816666666667,973.08,972.9922222222223,976.92,975.12,977.8,976.12,971.8,976.8,976.7
974.53,972.26,976.1,977.38,990.2242857142857,976.0,976.3,975.73,976.52,978.27,981.9,974.92,975.88,971.3480000000002,973.28,973.6677777777778,977.12,975.35,978.02,976.28,971.8,977.0,977.2
975.48,973.14,977.15,978.33,991.41,977.05,976.27,976.8,977.6,979.25,981.9,975.4,976.88,971.3700000000001,974.23,978.2,977.98,976.7,979.0,977.23,971.88,978.02,978.15
976.47,974.13,978.0,979.1,989.9483333333333,977.88,976.23,977.55,978.33,980.15,981.9,973.6257142857143,977.75,971.356,975.2,978.8,978.97,977.58,979.97,978.2,971.8,979.0,978.97
976.75,974.42,978.1,979.17,990.4916666666667,977.97,976.27,977.6,978.42,980.3,981.85,973.9971428571428,977.85,971.382,975.42,978.98,979.15,977.55,980.23,978.35,971.85,979.27,979.1
