IHBAS-CPCB,Shadipur-CPCB
1.02,5.8
1.02,6.82
0.99,4.29
0.57,2.27
1.89,1.79
2.42,1.52
2.33,1.44
2.76,1.53
0.76,2.25
1.24,2.69
1.78,1.93
1.85,1.7
1.94,2.51
1.34,3.26
0.95,2.16
0.62,2.3
4.94,2.34
3.86,2.47
3.47,3.65
2.95,6.74
3.59,12.29
8.25,8.03
4.96,5.92
3.14,4.79
13.58,8.46
11.3,9.36
10.82,5.59
6.87,3.21
4.59,1.88
3.27,1.55
1.81,1.68
1.56,1.18
1.2,0.76
0.82,0.56
0.84,4.86
0.86,4.76
0.65,4.23
0.58,3.24
0.56,3.3
0.48,3.82
0.53,4.69
0.67,3.38
0.99,3.26
1.57,2.39
4.08,4.89
5.82,7.88
4.43,5.53
4.04,4.38
3.46,3.29
3.6,2.86
2.51,2.28
1.97,1.31
0.83,1.37
1.7,3.46
4.26,3.25
2.39,0.99
0.91,1.05
1.02,0.82
1.03,0.74
0.84,0.98
0.86,0.77
0.66,0.97
0.63,0.64
0.58,0.96
0.59,0.78
0.71,1.22
0.79,0.93
1.6,1.32
1.91,1.66
2.93,1.73
2.2,2.14
1.33,1.12
0.86,1.08
0.81,0.54
0.62,0.78
0.53,0.66
0.8,0.45
0.8,0.55
1.42,0.56
1.26,0.53
1.09,0.62
1.12,0.82
8.71,0.95
1.09,2.12
2.01,1.77
0.87,2.08
0.61,1.68
0.64,6.3
1.06,21.58
0.8,4.39
1.25,2.54
1.91,2.29
2.82,2.59
3.25,2.7
3.59,1.81
4.05,0.85
2.68,2.27
1.79,1.54
0.71,0.91
0.54,0.73
0.49,0.77
0.68,0.94
1.06,1.08
2.01,1.35
1.52,1.04
0.97,0.98
0.97,0.91
1.2930769230769232,0.95
1.7166666666666668,0.96
1.7,1.06
1.57,1.27
3.29,4.04
4.59,4.42
2.62,3.38
2.5,2.57
1.88,7.14
1.85,6.85
1.93,6.39
1.59,3.56
1.16,3.27
0.76,1.89
0.7,1.53
0.75,1.43
0.72,1.04
0.68,1.0
0.6,0.82
0.56,0.85
0.52,0.53
0.42,0.57
0.47,0.57
0.49,0.95
0.54,0.55
1.31,0.55
0.85,0.95
0.5,1.17
0.61,0.62
0.79,0.75
0.51,1.05
0.58,1.61
0.82,1.2
3.1823076923076927,3.44
3.626153846153847,2.34
3.014166666666666,0.63
2.4425,0.49
2.5746153846153845,0.51
2.2707692307692313,0.27
1.8523076923076922,0.4
1.4725000000000001,0.42
1.3033333333333332,0.4
1.3816666666666668,0.32
1.5483333333333336,0.33
1.3708333333333333,0.55
0.18,0.51
0.43,0.34
0.51,0.48
4.78,0.65
2.41,0.6
0.79,0.65
0.52,0.53
0.4,0.51
0.64,1.46
0.77,2.45
1.13,2.47
2.11,1.28
2.9,1.46
2.7,1.4
2.59,1.24
0.91,1.42
1.53,0.84
2.98,0.78
2.69,0.65
2.12,0.54
2.46,0.37
2.67,0.44
2.59,0.7
1.85,0.91
1.54,0.63
0.83,0.44
1.03,0.7
1.31,1.2986666666666666
0.68,1.3413333333333335
0.67,1.4799999999999998
0.46,1.302
0.3,1.71
0.44,1.73
0.39,1.76
0.94,3.46
2.07,3.05
5.98,3.32
4.86,4.17
5.07,4.76
4.88,3.94
1.71,0.66
0.79,0.32
0.61,0.31
0.51,0.42
0.43,0.43
0.54,0.6
0.55,0.6
0.64,0.6
0.84,0.42
0.65,0.43
0.82,0.64
0.94,0.82
0.9984615384615386,1.04
0.8041666666666668,0.84
1.5106666666666668,1.61
0.7440000000000001,3.22
0.87,3.63
0.8,4.9
1.68,3.34
1.96,3.53
1.89,3.37
1.7,6.4
1.18,4.37
1.1,3.13
1.02,1.78
0.76,0.8
0.47,0.63
0.37,0.5
0.65,0.3
0.69,0.43
0.88,0.48
0.49,0.52
0.63,0.44
0.56,0.6
0.71,0.49
1.32,0.32
1.58,0.36
1.5,1.31
1.72,1.27
1.42,0.78
1.23,1.24
2.04,1.03
3.44,1.26
10.39,0.94
5.66,1.05
4.59,2.1
