IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
1.85,5.32,2.43,8.28
1.75,10.78,2.23,8.37
1.63,4.62,2.33,5.47
1.17,8.63,2.19,3.54
1.91,6.72,2.01,3.66
2.66,7.88,1.79,3.21
3.44,6.46,1.81,3.33
5.35,7.5,2.03,3.86
2.38,5.53,1.88,5.38
3.21,6.18,1.83,5.75
2.77,5.06,1.81,4.12
2.28,4.34,1.98,3.03
1.86,4.09,2.1,2.95
1.63,4.2,2.1,3.73
1.19,4.56,1.92,2.68
1.0,6.51,1.35,2.96
3.9,7.42,1.79,4.12
4.55,7.29,2.09,9.9
6.03,10.11,2.26,6.45
7.29,9.4,3.02,9.37
8.64,10.34,3.08,17.0
13.3,8.35,3.14,11.42
8.67,7.76,3.34,8.62
5.0,11.09,3.17,6.94
12.06,10.63,2.91,8.05
10.56,6.42,2.0,8.04
9.8,8.27,2.09,5.43
6.77,8.8,2.24,3.93
5.3,6.86,1.98,2.84
4.78,5.74,2.1,2.87
3.72,5.2,1.96,3.29
3.5,8.72,2.36,2.75
2.87,4.52,2.31,1.76
2.1,6.63,1.96,1.19
2.13,6.39,1.73,10.11
2.04,4.83,2.08,7.92
1.56,6.26,2.17,4.53
1.47,5.75,2.07,4.26
1.49,7.23,1.97,3.74
1.33,4.59,1.99,3.97
1.55,6.97,1.91,6.78
2.09,7.95,1.8,7.41
3.45,7.31,1.67,10.64
5.97,8.68,1.82,8.84
9.06,8.32,2.66,11.9
12.61,9.64,4.68,17.05
11.63,13.95,4.69,14.47
11.07,5.91,5.02,14.7
10.34,8.39,5.46,10.61
9.72,9.88,5.57,7.67
7.18,5.09,6.14,5.01
5.43,6.43,5.7,3.04
2.45,10.19,4.78,2.64
3.24,9.86,4.49,4.13
5.34,6.73,3.98,3.75
3.61,5.75,3.77,1.54
2.27,6.99,3.27,1.83
2.45,7.87,3.08,1.58
2.71,6.1,2.26,2.7
2.4,5.4,2.38,5.41
2.77,6.37,2.25,3.84
2.12,6.82,2.01,3.8
1.92,7.02,2.24,1.74
1.78,7.12,1.99,1.68
1.77,8.55,1.93,1.69
2.18,6.39,1.85,1.81
2.71,8.34,1.64,2.0
5.01,8.98,1.97,3.44
6.74,9.03,2.01,4.97
9.22,5.86,2.17,4.52
7.25,5.77,2.82,4.57
4.43,6.54,2.1,2.85
2.8,9.27,2.0,1.98
2.23,5.61,2.01,1.35
1.73,7.72,1.9,1.42
1.52,6.03,1.79,1.17
1.96,8.85,1.7,1.1
2.41,9.78,1.73,1.34
3.4,4.8,1.71,1.1
2.79,8.75,1.64,1.04
2.39,4.58,1.62,1.39
2.63,5.21,1.58,1.69
12.25,4.55,1.57,2.28
2.97,10.34,1.28,3.54
4.53,12.8,1.5,3.02
1.58,6.41,1.64,2.34
1.37,8.71,1.83,2.23
1.27,6.71,1.84,11.97
1.64,3.64,1.96,20.86
1.59,5.81,1.79,4.94
2.62,6.83,1.67,3.5
4.62,5.66,1.49,4.01
6.23,5.08,1.38,4.82
8.4,3.38,1.4,4.73
9.64,1.95,1.46,7.74
11.73,1.73,1.48,8.31
7.84,3.25,1.64,5.86
4.52,2.67,1.56,3.87
2.25,4.25,1.62,1.95
1.73,8.95,1.57,1.53
1.65,8.22,1.48,1.58
2.13,7.33,1.47,1.87
3.6,5.67,1.49,2.8
6.22,7.25,1.58,3.37
3.7,8.54,1.61,2.77
2.32,9.2,1.49,2.34
2.07,9.19,1.56,2.35
2.725263157894737,5.46,1.61,2.17
3.0747368421052634,10.39,1.49,2.11
2.0,8.06,1.76,2.64
3.31,6.18,2.18,2.65
6.7,4.98,2.42,5.09
7.21,3.12,2.3,5.78
4.29,4.21,2.12,5.01
5.27,3.23,1.72,4.0
5.97,3.29,1.67,9.57
6.15,8.81,1.53,10.88
5.62,6.36,1.5,11.14
5.11,8.95,1.52,8.25
3.88,5.37,1.52,6.88
2.33,12.96,1.52,4.44
1.84,5.03,1.54,3.43
1.82,4.28,1.54,2.68
1.51,6.12,1.36,2.12
1.48,5.08,1.27,1.96
1.38,6.14,1.35,1.71
1.36,7.15,1.44,1.91
1.43,5.76,1.33,1.44
1.02,6.8,1.29,1.23
1.16,7.12,1.34,1.11
1.2,4.17,1.41,1.81
0.93,7.68,1.44,1.36
1.38,7.0,1.29,1.45
1.12,5.48,1.49,1.37
0.91,7.45,1.51,1.21
1.04,8.94,1.53,1.15
1.28,6.79,1.55,1.54
0.93,8.39,1.37,1.7
1.15,8.03,1.33,2.37
1.75,9.41,1.29,2.43
5.342941176470588,5.27,1.44,5.69
6.526875,7.0,1.46,4.07
6.409285714285713,4.29,1.37,1.88
5.4423076923076925,9.23,1.24,1.54
4.440769230769231,8.42,1.18,0.64
3.7223076923076923,7.97,1.13,0.68
3.003076923076923,5.13,1.09,0.2
2.5625,5.31,1.09,1.3486363636363636
2.046923076923077,6.23,1.02,1.2715
2.1492857142857145,4.89,1.01,0.22
2.4573333333333336,9.14,0.9,0.42
2.600625,5.88,0.95,0.33
0.42,5.78,1.12,0.59
0.96,5.3,1.05,1.02
1.04,4.62,1.08,1.29
3.52,4.58,1.15,1.35
2.45,5.17,1.22,1.15
