IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
34.55,15.3,25.68,7.2,28.48,20.68,43.22,33.33,40.5,41.67,12.88,12.57,27.65,49.95,41.17,31.12,11.85,44.4,5.53,46.97,40.47,27.7,48.56,27.412222222222223,21.02
34.35,13.45,27.77,7.1,30.6,18.52,45.48,33.48,40.53,42.98,15.07,12.32,29.15,52.65,44.08,36.3,14.97,41.52,6.08,70.65,37.62,30.75,47.72,28.17888888888889,22.83
32.82,19.4,48.0,4.03,23.85,18.1,52.2,35.6,36.5,56.75,34.55,10.25,41.8,60.25,39.97,27.4,,41.0,5.1,72.0,24.4,30.65,46.31,37.93333333333334,22.3
31.95,18.45,43.95,5.03,22.43,16.2,44.1,32.67,37.32,45.1,40.17,11.18,31.43,47.17,29.4,25.52,25.48,33.7,5.55,58.28,33.8,26.3,45.34,32.64,21.65
33.09,23.68,39.77,6.47,22.45,16.43,46.4,32.22,39.15,34.98,39.67,10.83,23.1,44.23,33.05,23.55,19.02,30.2,6.45,51.6,40.3,24.2,44.59,29.331111111111106,24.65
33.64,23.9,33.12,6.17,24.65,16.93,53.7,32.5,37.8,33.2,34.35,11.07,31.07,44.12,33.83,20.18,16.48,30.52,6.62,44.12,39.7,24.25,43.88,28.412222222222226,22.55
33.49,21.2,30.0,7.3,28.65,17.38,52.38,32.55,37.05,30.5,29.1,10.97,50.4,43.6,35.45,19.35,15.12,36.27,6.88,40.4,41.98,26.5,43.11,27.438888888888886,21.57
35.39,18.92,29.15,9.15,33.77,16.85,50.8,33.7,37.27,31.92,26.98,11.45,35.65,42.3,38.2,21.35,15.65,40.48,6.43,39.4,42.6,27.12,42.64,26.069999999999997,21.62
32.87,16.76111111111111,26.95,6.33,34.88,16.57,48.23,33.45,37.62,31.55,23.55,12.28,30.57,43.2,40.6,30.32,17.77,37.17,4.95,49.0,40.68,28.48,35.43,26.512222222222224,20.38
33.07,14.077777777777776,27.0,6.97,33.65,17.47,49.2,33.98,37.98,32.92,26.85,12.4,45.23,45.5,45.42,34.2,22.1,38.7,5.08,62.12,42.9,32.7,38.76,28.033333333333335,18.83
33.79,13.32,38.48,7.45,35.15,19.35,51.08,34.8,39.52,34.7,31.58,11.6,47.48,47.7,48.62,30.7,25.5,34.48,5.42,62.6,41.23,33.97,42.91,28.64222222222222,20.02
33.53,13.99,44.73,7.88,36.25,20.17,53.25,32.3,39.9,40.88,32.55,11.95,39.1,45.92,37.05,29.2,22.07,34.48,6.1,61.48,39.38,33.78,38.4,28.355555555555554,19.75
32.09,14.379999999999999,41.9,6.45,34.73,20.55,54.55,31.17,37.75,45.25,30.75,12.07,54.8,43.6,41.17,27.23,19.12,30.85,6.75,64.95,42.2,32.85,30.2,29.216666666666665,23.32
31.32,30.5,34.88,4.85,36.05,20.35,52.15,30.75,38.48,46.22,27.6,12.43,76.25,44.75,44.0,22.9,17.32,30.05,7.08,50.88,41.75,32.85,29.98,40.25,26.85
27.52,24.5,30.0,4.65,35.08,18.32,44.78,28.3,37.45,48.7,24.75,12.25,79.97,45.45,44.92,24.17,20.98,32.88,7.12,53.95,39.55,32.9,30.86,39.05,24.35
21.09,21.12,27.5,5.4,38.03,20.77,43.0,28.32,34.73,43.65,20.95,11.97,38.7,44.0,46.15,27.67,33.88,37.1,6.75,53.1,35.73,31.92,32.29,46.83,21.65
6.77,14.65,27.93,7.15,34.53,19.58,42.95,29.65,37.6,49.58,19.12,11.6,27.52,43.62,43.7,34.65,37.92,71.0,5.58,60.45,38.62,31.9,34.82,46.92,18.8
23.43,14.12,32.6,9.32,34.5,19.47,46.1,32.25,39.8,48.28,18.18,11.45,29.77,46.73,43.58,33.18,21.67,83.3,5.3,65.47,37.08,32.12,35.88,63.25,16.73
10.48,16.0,49.38,7.25,34.65,17.9,49.02,34.92,39.55,50.52,16.6,11.45,35.28,48.08,41.3,29.8,11.7,30.481111111111108,5.07,67.12,36.48,29.7,25.92,53.42,18.45
