IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,Lodhi-Road-IMD,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
4.23,3.7,2.42,22.36,5.55,25.7,5.3,9.32,14.35,10.7,23.82,11.15,17.27,7.17,4.57,6.08,6.5,7.12,29.0,13.7,3.9,2.55,5.8,9.25,1.25,8.82,1.7,3.67,3.72,5.04,23.555714285714284,3.178888888888889
3.68,4.25,2.92,23.03,6.98,18.45,3.83,10.33,12.62,11.95,23.53,11.45,13.53,6.95,5.95,5.21,6.92,6.88,14.88,13.15,4.9,2.73,2.92,7.17,1.0,1.82,1.75,3.25,3.35,6.04,19.227142857142862,3.497142857142857
4.28,3.7,0.75,21.66,5.9,5.05,3.0,10.21,11.1,10.5,22.03,11.41,3.0,3.05,2.8,9.61,5.3,3.15,6.7,9.65,3.4,2.5,3.151666666666666,4.0,1.7513333333333336,15.0,1.7,2.9,2.65,6.04,13.116666666666665,3.525
3.36,3.1,1.3,23.21,6.28,2.9,2.88,9.65,10.1,9.72,20.88,11.0,1.9,6.45,3.15,8.3,4.68,3.33,6.67,9.7,4.35,4.4,2.53,3.1,0.4,4.0,1.65,2.92,2.83,5.67,14.657142857142858,2.8340000000000005
4.28,4.9,1.58,23.5,7.38,1.15,2.8,9.54,9.1,9.57,21.48,10.56,2.28,8.9,2.08,7.01,5.17,2.1,4.92,10.4,3.08,3.9,2.33,4.33,0.82,7.1,1.8,3.17,3.33,4.58,11.664285714285715,3.492
3.77,5.12,4.38,23.45,5.6,8.88,3.0,9.56,8.98,11.18,26.66,10.48,4.5,9.15,3.77,6.9,6.33,1.95,6.0,13.53,3.05,3.83,2.1,5.22,1.02,24.28,1.68,4.67,34.8,5.05,11.194285714285714,4.8
6.15,9.32,5.88,26.24,8.35,17.15,3.17,9.57,12.25,13.32,32.09,10.63,6.45,11.5,3.82,9.27,11.12,3.65,14.83,14.75,6.75,5.08,3.23,10.6,2.78,9.43,3.6,14.75,50.33,6.38,15.452857142857141,5.7
9.05,13.55,5.12,24.05,10.68,11.7,3.4,9.31,12.65,16.2,24.29,11.01,5.95,9.35,8.5,11.99,11.8,9.95,16.32,16.45,8.25,14.72,3.45,15.33,5.68,3.97,4.7,10.35,29.0,7.66,12.138571428571428,3.73
4.25,10.192307692307692,3.55,24.44,6.5,3.25,3.25,9.01,11.07,13.6,25.12,11.52,6.25,8.12,8.93,10.89,9.05,9.35,8.8,17.15,8.95,12.82,3.7,8.23,3.2,5.33,4.33,6.93,15.6,7.43,10.7425,2.72
5.67,8.524615384615386,2.92,21.84,6.2,1.83,3.23,9.97,9.35,10.7,32.98,10.76,6.9,6.92,8.35,13.14,9.03,7.7,7.5,14.65,10.3,5.77,2.72,6.75,2.2,2.2,4.0,5.65,9.62,6.72,7.675555555555557,1.82
5.19,7.273846153846155,1.75,22.04,6.45,1.4,3.3,10.25,7.55,10.3,26.61,9.4,4.88,3.82,31.27,9.58,7.57,4.38,6.4,12.2,5.35,4.88,2.42,7.67,2.25,1.73,2.9,4.7,7.35,5.57,3.94375,2.12
5.67,5.895384615384615,1.23,23.58,6.58,1.15,3.05,88.71,6.47,6.03,24.2,9.48,3.12,1.68,6.27,7.64,4.75,1.52,3.85,8.78,2.77,3.35,2.15,5.28,1.2,1.77,1.48,3.38,6.95,6.48,2.5233333333333334,2.4
3.8,6.184615384615384,1.02,22.09,5.65,0.5,2.88,11.18,8.2,5.42,25.11,8.98,2.12,0.82,3.4,6.15,3.38,0.85,3.17,4.88,4.28,1.98,2.53,3.38,0.7,1.25,1.02,2.08,7.6,6.93,2.3036363636363637,2.5
4.02,4.8,1.08,20.2,4.33,0.25,3.03,10.64,7.37,6.53,25.76,8.82,2.73,1.48,6.77,6.52,3.65,0.45,2.9,2.83,3.38,2.42,2.95,2.83,0.65,1.3,1.23,1.35,8.28,5.94,0.8,1.3373333333333335
5.01,3.68,0.97,18.84,5.9,1.82,2.83,10.76,4.57,6.45,27.78,8.64,2.0,1.35,32.28,6.41,3.4,0.53,2.6,3.0,3.33,2.45,1.98,3.3,0.95,1.5,1.32,1.12,9.72,7.09,2.1,2.4
5.36,4.65,1.38,21.12,6.1,0.8,2.77,10.54,7.85,5.65,29.19,8.8,2.67,1.93,66.88,6.6,3.33,0.67,3.73,3.83,4.58,2.92,3.65,5.8,0.55,1.1,1.55,1.45,18.25,4.98,1.82,1.5
8.07,7.47,4.45,21.89,7.17,4.72,3.23,11.0,6.85,7.38,26.72,9.1,4.62,2.95,123.95,7.51,4.05,0.5,5.83,7.07,6.32,2.55,3.7,6.78,1.1,2.0,1.68,3.03,38.47,4.02,2.15,1.15
10.42,12.1,2.32,21.96,6.6,8.92,3.45,11.31,8.75,8.12,24.83,9.46,7.85,3.1,110.62,8.07,4.57,1.2,6.65,8.6,7.47,2.62,4.92,6.475333333333333,1.1,1.98,3.0,4.28,25.85,5.36,3.62,1.15
9.94,29.05,4.65,22.28,6.07,6.97,3.27,10.88,8.93,6.45,23.64,10.15,6.75,3.12,114.85,9.23,4.5,1.55,6.93,8.8,4.82,2.8,12.72,6.759333333333334,0.62,2.2,3.45,2.82,97.32,7.19,3.75,1.25
7.08,26.75,4.6,21.63,5.68,10.55,3.33,11.08,10.93,9.2,19.8,10.89,7.0,3.48,88.97,9.55,4.6,1.18,7.22,14.85,17.55,2.57,13.88,7.533333333333333,0.8,1.73,3.35,2.68,32.35,7.71,3.27,1.1
7.37,22.65,2.42,22.81,6.17,15.12,3.6,17.84,8.75,9.23,23.59,11.28,9.12,4.28,63.6,11.19,5.58,2.15,10.4,12.62,16.25,2.95,8.82,14.3,1.02,36.38,4.12,2.9,52.4,6.99,8.03,1.83
10.38,12.7,4.97,20.72,7.5,29.38,5.78,12.03,10.12,9.35,20.52,12.1,25.25,7.1,49.6,9.95,6.12,2.65,14.27,15.83,18.85,2.42,4.85,10.08,0.85,19.8,5.82,11.35,41.4,7.0,10.67,1.35
6.36,4.75,21.02,23.64,6.55,24.33,5.2,10.38,14.05,9.9,19.7,12.45,21.98,10.62,20.47,11.86,4.85,2.08,14.5,15.43,14.7,2.08,3.05,7.33,0.88,3.02,2.65,5.3,13.45,6.83,8.15,0.82
6.75,7.6,15.12,23.64,6.5,19.1,4.3,10.41,10.67,10.3,21.91,12.15,12.82,9.47,17.88,8.57,5.92,2.4,10.32,19.27,9.38,2.48,3.15,5.62,0.62,2.62,6.25,4.1,4.72,6.44,8.75,0.72
8.38,6.38,14.17,24.42,6.5,13.85,3.85,10.34,12.6,10.65,23.59,12.24,9.4,10.35,12.33,9.84,7.1,5.45,9.73,17.23,4.68,1.73,3.33,4.53,0.75,1.92,8.03,3.27,5.83,6.43,9.82,0.2
8.75,10.48,10.38,22.53,7.38,11.3,3.5,9.87,12.47,7.88,25.4,12.23,6.88,10.15,4.92,8.38,6.95,8.32,8.88,22.65,9.6,2.5,2.88,3.4,1.02,1.88,5.35,2.93,5.15,6.99,10.3,1.23
9.03,4.4,10.2,22.81,8.6,26.1,4.1,10.25,14.4,9.6,25.1,12.26,3.3,10.5,6.5,10.95,7.3,13.6,6.0,17.45,7.1,1.6,3.70375,5.924117647058824,1.2,2.35,3.6,3.6,3.8,7.27,13.0,1.52
