IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
16.29,29.68,20.95,25.93,25.3,41.77,23.85,13.3,11.85,28.62,47.08,26.43,23.7,37.36,19.4,28.7,42.75,32.55,21.19,31.77,29.4,24.0,35.6,25.73,44.58,6.55,18.98,16.1,22.76,30.707142857142856,14.99111111111111
15.08,26.4,20.7,25.49,22.45,36.23,9.7,13.14,9.43,25.98,32.25,23.4,23.65,33.91,18.3,25.18,35.5,33.2,16.54,31.47,29.12,17.82,25.75,18.23,14.35,7.33,16.12,14.47,23.44,27.40142857142857,13.501
12.31,25.0,16.8,23.55,6.78,27.3,4.7,12.98,10.2,22.4,16.9,16.88,13.15,28.33,11.5,12.5,19.8,24.4,14.18,24.18,26.75,21.256666666666668,8.9,20.400000000000002,38.6,4.4,10.3,4.4,18.21,21.95833333333333,12.659090909090908
11.27,25.5,17.65,29.84,13.07,22.78,2.88,13.21,5.35,19.55,17.15,26.27,15.08,23.51,14.85,12.7,26.15,23.88,15.12,23.02,35.28,26.57,12.07,11.3,31.1,5.08,13.15,15.6,17.44,21.868571428571432,12.605833333333331
18.26,26.57,19.52,51.28,19.6,20.85,1.77,13.13,6.75,20.65,19.58,24.0,16.7,20.08,18.07,13.55,26.27,25.53,14.96,25.27,31.5,27.12,19.98,15.47,34.55,9.53,13.95,25.07,18.64,20.32,12.383846153846154
17.71,23.25,22.77,45.24,21.23,30.7,2.42,13.17,7.95,21.3,29.32,25.6,19.5,21.2,18.98,14.57,36.62,27.67,11.77,26.42,28.4,15.28,22.08,22.8,37.52,12.6,19.9,39.48,16.5,20.615714285714287,15.3
20.55,23.4,19.53,51.88,22.83,33.9,4.97,13.16,8.95,23.12,28.95,26.88,18.75,22.76,28.35,16.77,38.57,27.85,13.79,30.3,30.6,16.75,31.07,24.27,36.17,15.08,22.4,35.6,18.63,20.49142857142857,13.9
22.92,25.55,18.1,32.3,29.48,27.83,2.85,13.22,7.83,26.05,25.35,24.27,22.88,20.54,25.98,20.52,32.03,30.98,14.86,22.28,40.8,14.82,28.12,24.7,17.55,14.08,21.15,36.8,16.48,17.587142857142858,14.2
17.75,22.736153846153847,18.45,35.6,19.5,20.62,1.23,13.3,7.45,19.83,25.62,28.97,29.22,19.67,21.8,24.2,23.15,26.57,15.3,20.85,45.23,17.15,18.02,15.95,15.15,11.18,13.47,36.33,19.78,17.333750000000002,13.62
20.68,20.065384615384612,19.02,30.14,23.77,19.78,1.85,13.26,8.72,25.42,26.2,32.85,23.3,20.7,25.4,25.3,29.05,31.4,13.47,27.02,45.23,12.23,19.17,16.07,13.47,12.08,15.1,28.3,20.1,18.094444444444445,6.95
22.1,19.47153846153846,13.05,22.49,25.17,17.27,5.47,13.04,8.25,25.2,18.0,27.95,27.9,20.02,25.82,19.22,21.77,33.5,16.85,14.88,36.5,10.35,20.6,22.33,15.52,7.27,17.65,28.05,20.69,18.69125,4.6
21.62,17.983076923076922,12.32,21.39,27.48,14.47,7.12,12.55,11.32,23.35,16.65,23.8,19.5,21.3,20.27,17.23,16.52,34.52,14.46,10.15,34.55,8.68,18.07,20.47,17.18,5.58,17.43,30.7,19.43,18.91,5.2
20.2,26.78230769230769,12.3,20.36,20.18,12.17,6.67,16.62,9.3,22.85,13.38,20.25,16.02,27.39,19.2,16.93,16.32,37.25,13.01,18.0,33.33,8.75,19.45,19.15,15.4,6.1,16.88,36.17,19.01,23.258181818181818,3.8
19.64,22.55,13.07,19.86,14.55,13.85,5.83,17.66,8.1,21.12,15.2,18.75,23.15,35.72,18.28,15.65,18.42,35.47,13.48,24.1,34.88,9.68,14.18,15.68,14.45,6.65,14.25,32.58,21.51,27.45,4.395882352941177
25.16,32.08,16.6,24.18,11.0,19.75,5.33,17.95,10.7,20.45,18.6,13.28,35.88,52.95,17.67,15.12,23.45,31.23,12.14,31.85,26.77,10.3,13.38,13.72,13.35,6.08,11.57,38.22,21.19,31.3,2.98
34.09,30.23,26.07,38.15,15.23,22.02,6.1,19.02,8.3,22.38,24.77,12.82,59.38,26.93,16.57,15.88,30.48,35.92,19.22,16.43,27.38,15.28,14.92,13.07,13.95,7.93,10.55,38.25,23.58,27.12,4.65
73.58,35.8,47.58,54.42,24.63,45.53,9.68,20.53,9.12,29.6,43.38,23.07,59.95,30.55,24.3,17.9,47.25,51.85,25.92,42.15,32.88,23.48,32.4,14.45,18.0,12.8,23.62,46.0,22.95,39.18,9.68
104.23,47.35,23.33,65.84,36.1,50.1,10.65,26.52,12.5,31.7,57.98,26.15,67.2,69.89,28.98,22.17,52.0,53.6,29.43,52.3,35.5,23.05,26.182,14.78,17.5,19.15,30.9,52.72,21.21,44.48,11.45
88.77,58.2,31.7,73.71,24.1,40.55,10.45,30.84,13.07,31.27,56.12,29.48,69.93,52.3,42.02,24.25,49.92,49.95,33.67,37.05,48.93,30.8,29.451999999999998,18.33,25.62,26.7,34.1,65.67,22.86,50.35,7.8
54.14,51.67,28.62,76.25,15.55,41.42,10.47,23.27,11.45,40.3,56.08,29.12,65.67,53.48,46.92,22.1,49.22,61.52,32.93,55.77,57.3,29.68,30.300666666666675,24.02,26.05,24.25,24.92,52.15,22.95,48.6,6.23
50.13,47.15,17.73,71.69,19.7,42.2,12.08,24.62,9.95,36.15,58.6,24.78,52.55,40.94,53.2,25.95,55.1,48.92,33.28,57.6,38.48,30.48,51.17,30.98,42.15,27.8,22.27,49.2,21.46,57.8,8.78
58.74,33.83,19.65,41.09,29.65,35.98,19.7,24.05,10.15,33.92,59.67,27.15,38.45,35.5,47.88,23.27,55.88,40.73,31.82,52.08,32.65,23.52,43.28,23.22,45.25,29.02,31.23,48.72,21.32,56.97,8.85
29.38,24.27,19.02,63.31,19.8,34.95,17.77,21.75,10.22,27.6,53.35,27.68,30.0,38.14,31.05,16.82,52.2,35.62,31.39,46.4,27.12,22.65,30.0,21.68,26.65,21.7,22.65,34.7,24.5,45.6,9.3
29.16,29.5,21.32,62.25,16.48,31.83,15.9,20.72,12.95,25.15,42.1,23.38,31.62,79.66,40.28,18.12,37.47,37.72,30.57,51.7,24.9,18.35,24.55,17.43,20.48,25.12,19.77,34.25,22.54,43.05,10.18
39.26,26.25,16.42,59.63,17.95,23.7,13.45,20.52,9.02,23.35,38.25,22.65,29.48,46.36,41.2,19.12,28.68,34.45,28.92,28.77,21.43,18.02,18.68,17.25,18.07,23.18,15.72,39.65,19.38,40.83,12.85
37.23,35.6,15.12,55.23,22.7,19.73,9.82,21.98,10.53,24.2,33.67,21.38,25.7,41.49,37.45,20.95,27.78,34.9,25.2,28.65,19.95,16.52,22.8,20.38,20.2,17.07,14.38,34.55,19.61,36.05,12.25
36.75,20.6,12.05,44.8,29.35,20.85,10.45,24.36,13.1,23.75,33.3,20.0,20.5,37.99,31.95,15.05,24.7,30.25,23.91,27.42,18.05,18.275,16.29764705882353,23.6,18.95,16.7,15.8,27.35,17.12,34.4,12.3
