IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,Lodhi-Road-IMD,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC
11.91,18.8,13.12,17.9,43.25,17.05,22.62,18.05,23.95,43.49,16.9,39.12,19.88,16.32,24.69,15.62,21.05,46.35,28.45,31.66,20.1,17.73,17.52,26.47,14.7,30.93,8.25,22.65,11.57,15.13,35.52285714285715
10.84,17.52,13.4,17.55,34.3,8.33,23.47,15.3,23.52,42.82,17.17,28.23,18.12,17.38,22.03,15.4,19.02,31.0,28.38,26.06,20.7,17.72,11.88,19.55,10.53,9.1,9.12,19.4,10.45,16.19,30.56714285714286
9.87,16.3,9.55,8.32,18.65,4.95,23.19,14.4,20.45,40.18,17.1,11.5,11.47,9.25,22.76,10.4,9.25,16.0,20.85,25.53,15.6,16.25,13.883333333333331,8.0,12.28333333333333,32.75,6.0,13.2,4.5,13.52,22.341666666666665
8.8,16.12,10.47,12.0,14.47,3.88,22.86,11.0,18.3,38.91,16.75,10.68,19.23,10.57,19.14,11.75,9.42,19.35,20.6,24.9,15.77,22.35,16.23,8.93,6.4,19.77,6.7,16.07,10.57,12.8,23.597142857142853
12.98,18.15,11.68,16.3,12.05,3.25,22.68,10.98,18.8,40.46,16.3,12.25,20.05,10.57,16.29,13.8,8.88,17.95,22.08,23.96,15.95,19.93,16.3,14.17,8.9,24.18,11.35,17.18,16.02,12.27,20.334285714285716
12.29,16.52,15.68,15.75,23.5,3.75,22.73,11.58,20.45,49.28,16.24,19.25,21.08,13.4,16.75,15.25,9.35,24.38,25.78,21.65,16.55,18.23,9.85,15.98,12.97,39.75,14.3,24.52,49.35,11.82,20.109999999999996
15.68,20.02,15.15,18.8,31.93,5.25,22.72,14.75,23.15,57.84,16.3,20.67,23.7,13.1,19.53,24.07,11.93,32.62,26.8,23.91,21.65,20.43,11.52,25.17,15.15,26.93,18.7,37.23,59.92,14.01,23.49142857142857
19.24,24.65,13.8,24.25,24.35,4.27,22.53,14.5,27.07,43.61,16.73,18.3,20.52,19.1,20.52,23.4,19.0,30.4,29.85,24.54,18.55,33.7,10.7,27.48,17.77,12.55,18.77,31.4,43.22,13.89,19.25
12.7,20.407692307692308,12.7,15.55,13.62,3.3,22.3,13.0,21.6,46.73,17.26,18.73,22.05,22.8,19.18,19.0,20.5,19.5,28.12,25.46,18.38,34.52,12.18,16.27,11.1,12.4,15.5,20.4,32.08,15.47,17.99125
15.36,17.471538461538465,12.52,17.6,12.07,3.6,23.23,12.22,22.3,61.99,17.29,19.55,23.1,19.12,21.52,20.85,19.77,21.6,28.57,23.74,22.77,28.75,8.72,15.7,10.38,8.97,16.08,20.75,22.88,15.07,15.882222222222222
15.72,16.29846153846154,8.35,18.57,10.35,5.55,15.5,10.68,21.77,53.92,16.0,13.55,18.02,39.35,18.09,19.9,13.8,16.78,27.7,31.23,12.28,23.4,7.45,17.23,13.72,9.65,10.12,22.33,20.9,14.46,13.09
15.86,14.366153846153846,7.52,19.9,8.2,6.27,92.07,11.4,17.35,47.29,15.45,11.45,14.05,15.55,17.43,14.65,10.43,11.93,25.55,27.03,7.65,21.12,6.38,13.9,11.85,10.55,7.05,20.82,21.98,14.52,12.003333333333332
13.62,19.299230769230768,7.43,15.22,6.57,5.9,27.8,11.72,16.57,48.64,15.05,8.88,11.5,11.1,19.45,12.93,9.68,11.3,23.82,25.55,13.05,19.33,6.7,13.1,10.72,9.18,7.12,18.93,25.42,14.66,14.154545454545454
13.5,15.9,7.82,11.18,7.55,5.57,28.29,10.32,16.6,49.31,15.07,10.32,11.2,17.62,24.09,12.73,8.65,12.12,21.18,24.32,15.57,20.5,7.55,9.85,8.88,8.78,7.88,15.58,24.02,15.19,15.28
17.19,20.07,9.65,10.55,12.0,5.1,28.71,9.38,16.15,54.08,14.92,11.5,8.18,45.9,33.27,12.17,8.5,14.58,19.02,22.53,19.67,16.25,7.1,9.8,8.07,8.33,7.35,12.7,28.23,15.95,17.8
