DTU-CPCB,Shadipur-CPCB,NSIT-Dwarka-CPCB
30.2,32.17,29.24
29.59,32.0,29.4
26.81,30.27,28.89
27.12,30.07,28.72
27.45,29.82,28.89
27.75,29.81,28.86
28.32,30.13,28.93
29.1,31.04,29.58
29.84,31.12,30.96
32.5,32.13,31.19
35.08,33.67,31.48
34.49,35.44,33.03
35.61,36.45,33.48
35.25,36.31,34.3
35.53,36.61,33.78
33.27,34.41,30.47
30.75,32.82,28.69
31.61,32.65,29.6
30.94,32.56,29.2
29.73,32.34,29.12
28.99,32.17,28.64
28.87,31.95,28.29
29.29,31.57,28.08
29.23,31.19,28.04
29.12,31.08,27.93
28.8,31.02,27.65
28.37,30.94,27.34
28.26,30.73,27.17
28.0,30.67,27.18
28.14,30.69,27.19
28.86,30.85,27.65
31.25,31.92,29.31
32.84,32.98,30.87
33.99,34.09,32.24
35.39,35.73,33.39
36.11,36.65,34.25
36.52,37.38,34.67
37.03,37.63,34.72
37.48,37.85,35.3
37.72,38.26,35.7
37.34,38.14,35.66
36.09,37.75,35.06
33.34,36.61,31.99
31.58,34.37,28.68
30.98,34.51,29.67
30.65,34.65,29.48
30.34,34.14,29.34
30.27,33.76,29.17
30.18,33.74,29.6
30.05,33.34,29.21
30.18,32.66,29.06
30.15,32.49,29.07
29.98,32.63,28.96
30.09,32.63,29.1
30.52,32.62,29.16
30.88,32.52,29.16
31.65,32.72,29.72
32.8,33.68,30.74
34.98,35.08,33.23
36.21,36.72,34.5
37.52,37.83,34.75
37.94,38.34,35.15
37.45,38.81,34.7
37.21,38.49,35.13
37.35,38.5,35.8
36.53,38.0,35.08
34.23,36.86,33.38
32.45,35.86,32.08
32.0,35.12,31.47
31.63,34.9,31.03
31.71,34.8,30.73
31.54,34.51,31.13
31.39,34.08,30.34
30.95,33.66,30.04
30.76,33.34,29.95
30.59,33.33,29.8
30.43,33.39,29.72
30.0,33.11,29.34
30.45,32.72,28.85
33.23,33.61,29.69
34.98,34.89,31.68
34.45,34.98,32.05
32.38,35.15,32.73
33.59,35.78,33.43
35.36,36.71,34.47
35.86,37.16,35.41
35.92,37.51,35.62
36.07,37.75,35.61
36.09,37.67,35.26
35.12,37.11,34.68
33.21,36.17,33.65
31.74,35.28,32.78
30.93,34.81,32.42
30.37,34.43,32.31
30.01,34.39,31.71
29.85,34.31,31.41
29.75,33.96,30.73
29.86,33.88,30.97
30.11,33.5,31.23
29.74,33.03,30.98
29.42,32.59,30.73
28.91,32.52,30.55
29.96,32.86,30.82
31.74,34.23,31.89
33.03,35.02,32.51
33.82,35.9,33.41
34.58,36.11,33.56
30.57,32.79,31.66
28.87,31.07,28.39
30.5,32.0,29.06
32.57,33.16,30.61
34.33,34.36,31.71
32.56,34.71,31.88
31.13,34.36,32.36
31.29,34.06,31.78
30.6,33.78,31.32
30.29,33.6,31.61
30.16,33.36,31.54
29.94,33.01,31.38
30.3,32.98,31.22
30.17,32.87,30.79
29.89,32.42,30.57
29.66,32.23,30.27
29.61,31.95,30.39
29.55,32.36,30.25
29.44,32.57,30.17
30.03,33.06,30.69
31.6,34.13,32.05
33.31,35.09,32.89
34.17,35.48,33.48
34.78,36.55,33.95
35.03,37.05,34.27
35.81,37.7,34.94
36.41,38.12,35.12
35.89,37.92,35.37
35.27,37.11,34.53
34.53,37.19,35.0
34.79,37.62,34.88
31.97,36.41,34.11
31.38,35.41,33.09
31.32,34.63,32.54
30.9,34.45,32.07
30.61,33.88,31.44
30.34,33.5,31.04
29.94,32.96,30.7
29.89,32.44,30.06
29.88,31.9,29.66
29.57,31.49,29.14
29.4,31.16,28.88
29.23,31.04,28.61
29.09,30.92,28.45
29.62,31.21,28.76
30.02,32.04,29.55
32.59,33.41,30.79
34.54,34.12,31.59
34.72,35.19,32.55
35.0,35.8,33.05
36.02,36.06,33.72
