IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
15.97,17.12,5.7,21.44,54.0,2.08,16.0,12.65,24.8,28.01,7.62,6.28,4.95,4.88,2.88,5.85,5.67,6.45,9.77,7.85,7.7,5.82,9.8,10.85,12.72,5.12,18.0,12.916666666666666,4.9
14.04,14.5,1.1,25.67,59.45,4.45,15.482222222222223,16.3,18.4,28.38,10.254285714285713,14.35,15.2,7.04,5.9,8.8,21.398181818181822,8.35,3.7,7.05,17.412,7.1,32.05,7.85,5.5,8.8,17.85,24.433333333333334,5.0
25.95,13.8,5.42,38.3,58.77,6.5,15.67111111111111,47.17,27.0,28.61,6.1,8.35,16.85,7.81,12.8,12.5,5.3,9.53,7.25,12.22,10.25,9.55,33.6,12.68,20.32,15.75,23.17,12.463333333333331,4.45
26.15,9.18,7.08,29.26,18.08,24.9,15.458888888888888,30.02,26.97,26.39,20.38,8.35,8.88,6.3,16.95,14.22,12.43,7.22,0.5,6.45,16.8,7.78,19.3,12.8,31.75,5.1,40.4,12.284444444444443,2.78
18.7,8.12,11.05,19.24,30.1,25.43,15.90777777777778,39.62,28.05,31.03,20.38,7.7,13.8,9.51,30.45,14.1,16.75,7.45,10.25,6.88,27.88,7.75,26.52,14.12,25.05,3.88,22.95,12.081111111111111,2.85
7.56,9.05,8.93,13.05,41.52,9.28,16.726666666666667,20.1,26.25,29.58,10.1,7.18,13.7,7.86,14.27,13.3,10.83,8.7,9.38,7.97,24.43,21.75,51.1,16.27,17.42,3.55,13.8,10.913333333333334,2.38
3.56,7.88,7.05,13.21,43.52,7.47,16.709999999999997,8.3,24.15,27.81,2.35,9.07,8.4,7.24,14.85,8.3,6.65,7.53,9.12,7.85,17.83,14.07,7.7,19.1,8.35,4.22,11.68,11.664444444444444,2.08
7.93,10.8,9.07,31.98,46.85,9.43,16.918,15.3,26.35,22.77,5.07,7.17,7.0,7.83,11.5,7.12,8.88,7.88,14.12,5.85,24.12,11.32,8.62,18.42,13.53,4.32,17.73,14.352222222222224,4.1
16.58,18.613,7.45,37.66,54.83,26.35,20.33363636363636,28.82,27.1,34.57,15.05,13.1,22.58,9.24,35.55,12.45,14.32,5.33,11.45,7.12,36.33,5.65,8.0,17.796470588235294,22.15,4.42,15.9,21.256666666666668,6.57
22.16,22.560000000000002,12.48,46.38,60.45,40.15,24.423333333333336,48.02,33.62,42.45,24.4,12.7,24.27,8.37,27.55,14.47,24.1,11.1,13.65,11.62,65.85,7.38,16.27,15.7,27.8,5.72,22.75,35.403000000000006,10.7
31.74,30.054444444444446,17.1,59.41,71.28,51.4,25.533846153846152,59.75,36.48,29.19,19.6,9.0,32.95,9.5,32.05,24.33,36.02,6.47,15.6,12.43,76.03,10.82,38.95,14.72,41.0,9.3,28.82,50.00363636363636,17.95
59.7,35.87875,23.83,70.96,105.93,62.15,8.95,92.5,49.8,29.26,26.2,8.4,59.28,9.34,62.33,35.65,42.45,7.05,8.82,26.0,91.05,13.35,74.7,12.47,32.84,13.82,41.27,56.62416666666667,15.47
67.37,38.77428571428572,30.38,73.15,130.72,74.9,30.63,110.78,61.85,35.9,34.82,8.25,86.0,8.04,79.3,47.02,58.83,9.85,18.88,47.52,106.1,26.27,92.42,15.68,35.619230769230775,18.2,47.5,60.73384615384616,14.4
66.32,4.2,41.73,72.64,136.1,101.85,47.23,102.88,66.5,44.86,51.55,9.93,103.88,13.28,74.03,56.28,114.8,15.95,24.05,58.88,117.3,33.58,64.05,16.43,34.885000000000005,19.77,59.53,73.0,25.0
61.45,45.76999999999999,38.62,51.68,129.98,63.75,26.78,81.95,56.8,42.66,42.12,13.65,63.95,9.43,60.4,54.3,144.77,16.98,29.85,50.9,88.95,25.77,67.33,17.55,35.934615384615384,18.6,53.2,91.55,27.38
45.46,45.90714285714286,21.27,42.12,90.28,52.27,27.32,66.78,49.73,32.36,27.82,7.85,23.95,19.24,47.05,43.65,60.28,13.6,28.75,46.47,104.55,24.3,31.57,17.73,42.88,11.48,36.23,62.08,28.5
42.82,42.660000000000004,7.7,36.11,63.88,19.32,19.81,52.55,47.83,25.46,11.43,7.28,15.75,12.12,36.17,30.77,25.32,11.65,13.75,33.42,73.2,14.15,17.32,16.92,39.58,7.92,26.3,37.3,28.5
38.11,30.08857142857143,11.1,27.38,75.03,7.8,15.92,35.45,41.42,26.09,6.22,6.22,11.22,7.46,25.12,24.42,15.18,10.77,11.2,30.45,40.93,10.9,23.17,16.75,31.73,9.82,21.62,26.32,26.5
27.95,30.19,6.75,20.2,67.55,7.22,17.76,17.32,35.98,26.76,12.93,5.42,6.47,6.87,27.82,21.8,14.15,9.88,9.72,24.58,20.9,5.1,24.55,16.75,24.62,8.92,14.93,26.62,20.75
18.54,21.78142857142857,5.83,15.51,51.08,2.92,17.5,14.77,26.55,23.77,5.8,3.98,5.47,1.59,20.57,14.07,13.0,5.83,2.1,17.1,13.2,11.92529411764706,12.7,15.05,17.25,5.6,16.43,16.52,15.32
11.75,17.415,7.8,14.68,40.62,3.82,12.54,5.3,27.15,23.69,10.12,8.07,9.53,4.28,11.72,7.88,7.5,7.85,2.6,14.88,19.77,22.18,8.72,15.72,10.32,4.53,13.18,4.85,10.47
6.94,16.89,6.68,22.79,45.3,2.08,16.75,3.75,24.6,29.2,7.33,7.88,7.95,7.85,13.25,14.18,6.38,6.53,4.1,13.5,18.07,9.85,10.95,18.75,7.12,2.92,11.88,2.52,9.18
15.98,16.84285714285714,9.45,11.15,47.85,2.05,19.15,4.7,24.48,44.99,8.22,9.43,11.07,10.47,17.85,15.05,6.35,6.05,5.97,15.28,14.42,7.97,9.15,19.23,9.65,3.33,16.85,7.45,8.05
12.97,15.987142857142855,7.35,10.76,46.98,1.9,14.37,5.95,23.05,36.01,9.4,3.03,8.88,7.84,10.9,7.22,11.05,5.23,14.98,13.58,17.5,7.03,11.88,19.88,5.0,3.85,13.27,4.47,7.62
6.86,16.646250000000002,5.58,8.73,46.5,0.78,13.61,3.6,23.4,45.52,8.7,3.83,9.03,6.92,10.32,5.5,10.85,5.45,9.3,12.83,9.22,5.85,8.32,17.43,4.9,4.03,11.15,3.58,6.47
6.11,19.0,5.665454545454545,12.12,43.75,2.65,12.73,5.1,15.9,52.1,6.8549999999999995,17.6,4.6,5.48,8.9,5.9,3.0,7.95,7.95,9.8,12.342500000000001,5.5,6.8,12.95,9.8,5.5,13.85,17.45,4.95
4.58,16.7525,3.15,13.11,41.03,3.5,11.18,3.08,19.98,47.28,7.85,6.97,4.57,5.78,10.65,5.65,5.67,6.78,9.3,11.65,11.9,3.55,7.93,15.62,6.38,3.52,12.3,4.18,3.17
5.16,16.00875,4.47,14.45,33.25,3.45,12.77,3.4,20.27,46.27,3.55,5.3,5.4,7.75,10.75,6.67,7.58,5.0,17.902,7.95,8.55,3.97,4.4,12.35,6.1,3.03,11.8,2.6,2.55
