IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
82.61,72.47,87.6,84.5,73.81,97.3,69.93,73.62,73.18,73.55,69.08,75.1,88.18,78.6,87.17,80.73,79.85,82.0,74.8,68.6,78.9,71.77,79.95,81.05,73.67,69.5
82.84,73.55,88.65,85.05,74.45,97.3,68.22,75.85,72.83,73.32,70.1,72.95,87.15,80.17,88.8,79.02,80.67,81.75,73.15,70.9,81.6,71.67,80.28,82.3,74.20777777777776,70.2
82.17,74.68,87.58,86.55,88.19,95.82,75.38,79.6,81.65,73.18,74.05,73.72,90.28,80.68,88.28,92.8,80.5,82.47,82.23,77.9,79.18,83.58,80.38,82.35,74.07222222222222,71.6
95.17,75.58,88.4,92.31,89.95,86.38,74.53,85.4,83.58,72.7,72.05,77.9,97.2,84.67,83.88,91.9,78.72,77.7,83.1,80.15,84.3,84.92,88.33,84.78,73.70444444444445,73.28
92.65,76.75,85.62,86.32,90.3,87.35,74.8,79.9,82.2,73.75,73.6,77.08,96.82,85.47,85.6,92.05,76.03,77.85,83.57,79.8,80.72,85.27,86.85,87.1,74.66666666666667,74.4
94.82,76.58,88.3,86.94,90.6,93.0,75.42,81.0,82.58,73.6,73.18,76.1,98.48,85.12,85.65,90.2,77.83,80.05,81.88,79.38,81.75,84.88,87.62,87.67,75.69,74.95
95.62,76.78,87.58,88.47,90.69,97.3,74.1,81.17,79.8,74.78,71.97,75.72,98.55,85.47,87.97,86.68,79.38,80.55,81.3,79.18,83.65,84.15,87.38,86.88,74.42888888888889,73.42
91.45,71.12,83.72,88.64,85.97,97.28,69.62,77.47,75.88,74.3,68.35,72.5,90.72,83.85,87.7,83.53,79.08,78.1,77.58,74.38,80.85,78.25,83.1,84.72,69.69555555555556,65.25
80.89,64.4,78.3,82.52,74.48,86.17,62.8,69.38,69.02,71.53,66.18,69.62,78.78,78.93,84.15,70.47,73.97,74.65,71.97,68.9,75.58,70.55,75.12,78.9,64.85444444444445,64.52
72.51,58.142222222222216,72.08,77.43,63.36,77.58,58.65,61.52,64.9,65.55,59.67,65.3,71.7,72.92,75.43,69.45,68.05,67.95,67.78,64.15,69.72,63.0,66.9,77.97,61.013333333333335,51.05
69.66,55.12222222222222,64.85,75.45,57.43,72.22,54.77,60.62,59.62,60.93,59.45,57.8,66.88,64.38,69.45,62.45,59.23,62.2,64.95,59.0,64.4,57.15,62.27,76.35,57.906666666666666,48.35
