IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
5.78,9.72,8.55,1.9,8.49,4.1,4.6,230.75,0.95,3.52,5.5,4.35,75.85,4.4,4.9,22.68,2.7,0.9,5.2,2.73,5.65,106.25,3.32,3.38,9.47,6.08,1.8022222222222222,3.47
6.03,9.25,8.53,1.9,8.12,4.1,4.57,230.03,0.83,3.5,5.5,4.35,75.95,4.32,4.95,22.22,2.45,0.85,5.18,2.73,5.62,134.6,3.3,3.2,9.47,5.15,1.8211111111111111,3.25
6.18,9.2,8.57,1.86,9.62,4.1,4.58,231.12,1.33,3.38,5.5,4.4,76.5,4.38,4.95,21.1,2.8,0.9,5.18,2.62,5.55,179.68,3.25,3.33,9.45,4.55,1.8666666666666667,3.6
6.58,10.05,8.55,1.8,9.54,4.1,4.6,232.98,1.2,3.6,5.5,4.4,77.0,4.47,5.0,23.73,2.75,0.95,5.15,2.62,5.8,190.57,3.4,3.55,12.12,5.35,1.8266666666666669,3.48
7.03,10.3,8.57,1.8,9.57,4.12,4.62,233.5,1.15,3.52,5.5,4.38,77.03,4.43,5.1,24.48,2.73,0.85,5.2,2.62,5.8,180.03,3.32,3.65,15.15,5.33,1.7999999999999998,3.42
7.3,11.1,11.35,2.14,9.96,6.0,8.97,233.2,4.2,4.67,10.6,8.3,78.17,8.3,5.8,24.38,4.9,1.45,5.95,3.23,7.07,217.25,4.0,4.12,21.0,6.07,2.851111111111111,6.15
26.85,35.78,52.23,35.53,27.34,25.93,50.1,236.05,44.92,33.85,64.8,57.08,116.55,43.42,33.53,52.97,37.12,27.2,36.3,25.18,40.45,279.9,24.85,25.9,214.95,34.45,28.956666666666667,39.58
52.32,146.1,114.3,84.61,113.16,35.9,150.48,246.27,175.1,67.25,139.22,185.75,252.4,79.95,105.22,70.92,103.17,76.72,62.38,121.83,135.32,288.35,57.18,86.02,334.83,124.5,137.0011111111111,99.5
144.2,116.7,225.7,218.3,195.99,71.35,337.55,255.97,315.12,207.93,270.3,311.43,332.85,253.82,246.75,158.45,65.12,195.93,150.3,200.83,307.8,291.5,185.2,191.28,404.12,221.6,279.2577777777778,147.65
305.27,391.15666666666664,450.9,395.7,253.2,148.72,474.0,258.88,525.23,365.6,456.27,451.12,441.3,405.57,338.52,329.1,112.97,316.38,387.52,332.88,408.4,290.12,297.65,284.95,422.0,219.53,385.7122222222222,456.48
