IHBAS-CPCB,East-Arjun-Nagar-CPCB,Shadipur-CPCB,Punjabi-Bagh-DPCC
24.28,29.71,88.75,82.72
24.15,29.56,90.31,83.12
22.37,28.04,94.33,92.62
20.21,25.74,97.95,97.3
20.09,26.36,97.96,95.9
20.45,26.73,97.96,93.73
21.23,27.47,97.96,90.92
21.13,27.33,97.69,88.42
22.03,27.24,94.07,82.12
24.31,28.82,87.94,74.1
25.63,30.41,81.35,69.88
27.49,32.24,74.56,65.1
27.7,32.91,70.0,65.72
27.85,33.05,70.48,64.93
28.27,33.41,68.67,64.12
27.37,32.18,76.43,70.92
25.03,29.99,82.53,75.77
25.1,30.31,78.1,72.6
24.98,30.14,78.22,71.5
24.4,29.75,83.19,75.78
24.37,29.73,84.04,77.05
24.49,29.79,81.06,76.38
24.19,29.48,84.28,78.47
23.81,29.19,87.09,78.78
23.63,29.06,86.2,76.95
23.53,28.78,84.2,78.32
23.34,28.71,85.32,79.53
23.2,28.55,88.78,82.15
23.03,28.35,90.59,83.67
23.21,28.28,91.67,85.22
23.39,28.55,92.47,86.03
24.45,29.36,87.32,81.38
25.5,30.65,79.49,76.05
26.82,31.75,77.71,70.33
27.66,32.82,72.52,64.95
28.15,33.67,69.34,61.98
29.05,34.29,67.38,62.92
29.34,34.97,66.39,62.98
29.95,35.58,65.45,64.08
30.06,36.05,61.72,62.73
30.26,35.93,61.2,63.1
29.71,35.49,62.61,64.53
28.77,34.55,68.22,68.25
28.1,33.76,69.71,69.93
27.41,33.07,72.26,73.85
26.86,33.15,78.23,76.97
25.97,32.97,79.92,76.32
25.42,32.62,83.44,77.12
25.09,32.23,83.9,78.65
24.32,31.77,86.9,78.95
24.23,31.33,86.93,79.05
25.26,30.78,81.3,76.0
25.26,30.72,76.2,72.78
25.11,30.49,79.0,75.5
25.28,30.44,81.38,77.42
25.2,30.42,84.69,78.58
25.6,30.62,83.11,77.35
26.24,31.0,78.7,72.78
27.1,32.22,72.35,66.72
27.92,33.72,63.53,59.55
29.02,34.84,61.95,59.38
29.61,35.4,61.39,60.95
30.4,35.98,59.78,61.02
30.59,36.39,60.43,62.5
30.55,36.18,60.89,62.45
30.12,35.82,62.47,64.4
29.37,35.2,65.72,65.2
28.48,34.68,66.53,66.35
28.12,33.43,64.26,65.45
27.64,32.89,66.37,66.8
27.29,32.74,70.78,69.92
27.12,32.55,73.83,71.75
26.87,32.07,75.29,72.88
26.26,31.58,75.47,73.82
26.04,31.35,75.92,73.05
25.95,31.3,77.53,74.97
25.98,31.36,79.32,76.9
24.91,30.85,81.19,77.95
24.24,29.92,80.31,75.55
24.39,29.83,71.99,69.85
25.78,30.77,69.76,66.9
28.38,33.08,69.8,67.72
25.83,31.45,69.82,65.92
25.85,30.83,67.64,61.5
29.42,33.34,62.94,59.2
29.96,34.07,61.26,58.55
30.75,34.64,60.1,58.55
31.33,35.43,56.78,57.7
30.96,34.91,54.25,58.4
30.42,34.6,59.02,60.9
29.88,33.91,65.03,65.22
29.11,33.18,70.05,68.12
28.55,32.9,71.15,69.55
27.55,32.62,70.65,68.85
27.27,32.25,69.55,67.4
26.5,32.04,71.98,70.4
27.02,31.77,74.14,72.15
26.98,31.17,74.12,71.88
26.64,30.64,76.66,73.78
26.18,30.03,78.06,74.95
25.76,29.88,78.75,75.38
25.35,29.77,79.53,75.43
26.2,30.44,81.91,77.58
28.19,31.04,78.88,75.22
29.1,32.18,75.9,71.47
29.43,32.61,69.18,63.98
29.76,32.94,69.13,63.3
25.84,27.93,81.11,77.45
27.18,29.2,95.07,89.1
28.7,30.07,92.55,82.97
29.72,31.1,86.0,79.55
30.29,31.96,79.12,77.38
29.83,31.87,78.27,74.83
29.86,31.5,84.06,77.9
30.05,31.78,83.22,78.03
29.25,31.15,86.93,80.58
28.99,30.65,87.69,81.02
28.64,30.55,88.89,81.53
28.55,30.41,90.21,82.25
28.48,30.3,90.09,81.85
28.17,30.04,89.76,82.42
27.79,29.61,90.47,82.88
27.62,29.35,90.7,83.4
27.66,29.54,91.45,83.8
28.07,29.9,86.09,82.4
28.36,30.34,83.75,81.22
29.27,30.76,79.47,78.45
30.09,31.22,74.9,73.9
30.88,32.02,70.38,69.38
31.41,32.35,66.84,63.45
32.41,33.44,61.28,57.8
32.88,33.9,60.05,56.92
33.48,34.55,56.37,55.35
33.92,35.05,53.38,54.0
33.56,34.85,52.3,54.27
33.52,34.69,56.8,58.7
33.51,34.73,55.49,58.65
33.36,34.56,54.7,58.6
31.73,33.54,59.09,61.27
30.24,32.7,64.72,66.95
29.94,32.07,71.26,70.5
29.36,31.6,69.32,68.85
29.47,30.95,71.56,70.67
29.09,30.43,73.48,72.08
28.62,29.97,76.6,74.45
28.16,29.48,79.77,76.17
27.73,29.01,80.05,76.3
27.37,28.62,82.71,78.25
27.01,28.31,85.12,79.67
26.8,28.13,86.49,80.78
26.79,27.98,87.8,81.58
27.31,28.43,88.45,81.3
28.55,29.49,85.43,77.95
29.71,30.53,79.56,71.5
30.51,31.14,75.27,67.1
31.36,32.31,71.18,64.08
32.17,32.73,67.72,62.88
32.52,32.96,65.64,60.6
32.32,34.03,63.58,60.7
31.49,33.32,63.95,62.6
31.59,33.22,66.87,66.38
31.4,33.32,66.12,65.92
30.66,32.65,66.92,67.92
30.35,32.51,72.23,71.8
30.26,32.23,73.02,72.12
29.81,32.1,74.89,72.85
29.83,31.87,77.68,74.9
29.72,31.53,80.34,76.48
29.02,31.25,77.92,76.58
28.55,31.15,79.44,76.9
28.55,31.06,80.08,77.0
28.27,30.67,80.15,78.33
27.83,30.38,80.33,78.88
27.53,30.35,85.05,80.55
28.48,30.55,84.84,80.17
30.66,31.67,81.52,76.25
31.71,32.29,72.21,72.25
31.78,33.12,67.75,69.25
33.0,34.37,67.61,69.68
33.62,34.26,67.85,69.7
34.17,34.7,68.57,68.73
34.98,35.37,60.4,61.25
33.68,34.89,57.74,58.88
34.84,35.46,62.3,61.78
34.87,36.12,59.63,62.12
34.08,35.75,61.0,63.0
33.29,34.69,65.84,67.17
32.59,33.24,73.4,72.6
32.46,33.46,74.91,72.4
31.52,33.24,75.25,74.17
31.23,33.19,76.78,72.55
31.58,32.76,77.7,75.42
29.86,31.31,81.1,77.9
29.49,29.94,87.04,82.67
27.62,28.3,96.8,91.67
26.67,27.73,97.95,95.45
26.78,27.58,97.97,97.12
27.48,28.19,97.97,97.3
27.79,28.65,97.95,94.82
28.26,29.1,97.94,91.2
29.55,30.31,97.65,85.35
30.71,30.95,92.92,79.22
31.76,32.14,85.88,74.83
32.09,32.92,83.46,75.07
32.84,33.34,78.11,68.5
28.86,31.88,77.69,71.68
28.32,30.23,82.69,74.67
29.17,30.51,87.66,79.55
29.49,30.59,86.37,78.62
29.66,30.94,86.57,79.9
29.23,30.76,87.97,83.4
28.67,30.43,91.53,85.55
28.3,30.01,94.14,85.35
28.32,29.94,94.5,84.55
28.45,29.89,94.75,84.78
28.45,29.74,96.69,87.75
28.28,29.61,94.42,85.75
28.21,29.35,94.51,85.62
28.11,29.2,97.71,88.6
27.79,28.96,97.14,87.43
27.61,28.82,96.12,87.0
27.47,28.65,96.43,87.67
27.58,28.53,96.3,87.78
27.85,28.77,94.91,84.68
28.12,28.94,92.04,80.0
29.06,29.57,90.19,78.97
29.74,30.53,87.0,77.05
31.02,31.68,81.45,73.15
31.06,31.81,75.61,67.95
31.16,31.59,81.4,69.22
31.6,33.29,74.42,66.18
32.97,33.92,68.98,66.6
31.72,32.84,73.72,69.78
31.39,32.39,80.87,75.05
30.49,31.18,85.93,79.15
29.95,30.68,82.16,79.15
29.36,30.7,84.53,80.2
29.2,30.83,90.3,83.18
29.13,30.68,93.76,85.08
28.75,30.14,93.55,85.28
28.26,29.48,91.62,83.88
28.06,29.32,91.29,83.67
28.07,29.2,91.82,83.42
27.88,29.0,93.36,85.45
27.67,28.86,95.36,87.05
