IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
20.57,4.8,6.9,24.09,45.88,13.08,15.22,20.98,37.55,6.75,9.95,18.17,83.62,56.25,16.82,10.57,16.65,66.25,32.9,1.02,4.8,1.49,16.35111111111111,10.53
13.48,4.1,10.95,25.19,39.75,6.45,14.12,18.45,24.67,7.3,10.5,19.11,115.25,36.17,18.5,14.28,12.65,60.28,41.27,0.32,4.57,1.46,14.706666666666665,9.55
7.83,4.93,11.97,30.79,35.3,4.0,12.93,9.62,16.3,8.35,9.52,14.1,86.85,29.9,13.0,11.3,7.88,52.53,66.88,0.45,4.1,2.0,13.19111111111111,8.25
4.3,8.22,10.53,29.37,33.45,7.62,12.57,8.43,15.7,14.1,7.73,14.79,32.12,30.5,11.15,11.9,9.9,39.45,21.07,1.02,4.3,2.97,12.28,7.78
14.02,10.78,10.7,26.79,32.72,7.03,12.82,8.4,15.65,11.5,6.53,11.21,47.55,30.9,9.72,11.57,14.82,36.75,11.18,1.55,3.75,2.83,10.744444444444445,6.9
11.81,12.67,12.62,28.0,32.15,5.95,15.65,13.88,16.2,8.48,7.05,9.86,32.35,30.52,14.07,8.82,11.9,40.9,9.15,2.73,3.9,2.21,9.404444444444444,7.08
23.02,15.32,10.85,43.48,30.93,5.83,15.1,12.1,19.4,9.88,7.92,11.81,97.6,38.95,11.82,9.98,13.8,46.27,23.6,2.33,4.2,2.41,9.662222222222221,9.35
24.82,15.8,9.07,31.68,33.62,6.0,14.95,13.4,15.15,8.43,8.2,12.35,101.12,31.9,12.93,10.77,11.0,49.57,256.2,1.88,4.47,2.83,9.348888888888888,8.45
11.5,10.321111111111112,9.67,35.77,33.73,5.12,14.1,16.05,26.4,9.47,19.97,20.86,43.47,34.95,16.73,14.6,13.6,51.02,114.73,5.83,5.05,2.83,8.484444444444446,9.32
10.66,7.041111111111111,14.45,30.39,29.62,5.38,13.65,10.9,20.5,21.07,29.17,36.67,64.3,31.52,14.53,28.38,14.62,41.05,15.8,3.25,4.53,2.75,7.478888888888889,7.03
15.92,6.283333333333334,7.2,25.11,28.75,5.33,14.02,13.95,13.33,22.48,9.75,19.43,46.78,24.18,14.5,22.98,6.3,44.72,22.78,2.17,4.32,4.45,6.942222222222222,4.35
16.65,5.58,6.97,34.01,28.58,5.93,13.98,8.03,9.05,18.9,6.75,9.79,34.48,19.95,11.7,12.5,5.62,47.75,37.38,1.45,4.8,3.32,6.104444444444445,4.2
17.84,6.343333333333333,6.95,35.05,30.28,6.4,13.28,9.43,7.95,13.5,5.8,11.2,42.57,18.7,13.88,12.52,5.7,38.7,77.53,1.45,4.75,2.4,5.9255555555555555,5.45
13.5,5.68,7.97,29.49,28.67,6.95,13.78,8.68,7.18,13.02,11.65,16.84,61.58,21.43,14.45,14.65,5.3,41.42,147.15,2.02,5.03,4.08,3.02,5.5
9.9,27.0,7.47,29.29,28.85,6.95,12.28,11.32,16.73,12.45,15.82,21.14,39.42,33.58,15.3,13.62,6.8,38.12,199.82,2.77,,4.67,8.53,13.45
6.25,18.85,7.3,28.38,26.8,8.2,12.15,7.78,18.12,10.93,13.1,25.75,45.03,24.5,13.6,13.38,9.5,40.83,162.57,1.72,5.1,4.36,10.75,8.2
15.49,11.43,13.2,27.49,30.75,7.5,11.72,17.05,15.43,15.57,22.78,14.76,36.62,29.65,183.02,25.5,10.52,69.15,36.4,1.33,4.225,3.14,10.22,13.38
19.65,13.08,12.7,28.7,34.52,8.88,11.97,40.08,22.77,47.07,19.38,50.89,38.0,38.7,213.65,17.93,8.77,95.92,12.68,1.67,7.2,3.55,10.65,12.25
19.55,21.85,13.57,24.46,38.65,11.32,12.7,25.85,25.55,31.98,19.1,16.36,38.0,41.8,139.9,23.6,8.03,105.47,32.23,1.95,8.1,4.13,11.28,13.95
12.77,23.32,17.0,26.33,37.45,16.12,13.47,26.6,20.85,33.15,34.2,19.37,39.9,37.53,143.4,32.7,8.6,104.0,143.15,2.2,10.15,5.78,11.7,11.42
14.54,26.82,14.07,27.98,39.85,12.82,13.62,39.02,25.93,31.12,39.08,49.81,41.48,47.98,171.75,27.35,10.82,102.32,57.4,2.03,7.9,3.58,12.03,4.85
21.96,16.55,15.3,25.27,42.7,11.47,14.7,27.73,31.82,16.5,24.02,25.93,53.47,0.58,218.55,19.33,10.2,82.12,39.2,2.6,7.83,1.98,13.82,5.92
15.26,12.4,19.25,30.31,42.4,12.8,15.8,17.43,37.62,18.57,17.02,23.52,36.2,1.25,224.4,11.7,10.28,69.72,45.97,2.67,6.9,2.33,14.57,6.05
8.43,14.6,20.4,27.69,40.77,12.03,14.35,13.3,35.8,18.25,12.0,15.82,42.17,26.55,183.72,8.08,14.1,52.08,19.93,3.4,6.2,2.17,15.2,5.53
17.55,16.93,17.15,23.51,37.7,10.88,13.93,11.25,25.52,15.88,18.05,16.92,59.97,39.83,214.35,8.62,13.9,54.4,22.45,3.03,5.85,4.86,16.55,6.55
15.43,12.95,13.48,22.06,35.03,5.07,14.15,10.4,19.22,8.0,18.88,18.0,50.38,34.55,240.53,11.2,11.88,65.25,23.62,2.05,5.4,7.29,16.5,6.12
13.24,9.0,11.43,15.98,33.25,4.08,14.15,11.75,19.4,6.35,13.93,11.35,41.83,32.75,235.62,10.75,9.1,71.23,23.05,1.7,4.761428571428572,4.42,16.12,5.3
10.35,4.3,10.98,19.31,32.17,8.28,14.1,9.85,21.98,5.22,10.95,7.78,33.5,34.32,184.1,8.7,7.45,74.45,25.8,1.93,4.7725,1.81,15.98,4.28
9.25,5.4,9.8,12.73,30.88,9.15,13.95,8.15,22.95,11.7,8.45,5.17,27.33,32.72,138.05,6.88,8.5,65.9,36.12,1.62,4.550000000000001,1.32,14.45,4.25
9.61,6.85,10.57,14.77,31.62,9.45,13.8,7.62,15.55,5.98,7.7,5.03,27.4,0.88,133.32,4.82,16.45,54.07,32.08,0.72,4.55,1.45,11.62,4.33
7.52,8.5,7.8,19.16,31.45,10.38,13.52,7.93,9.88,5.47,12.2,6.99,26.82,0.85,113.67,4.65,20.7,49.42,29.43,0.75,5.4,1.56,9.72,3.98
8.36,8.1,4.83,20.93,27.48,11.3,13.4,9.2,7.73,5.45,10.72,6.73,24.38,8.55,105.97,5.03,15.9,48.1,29.7,0.9,4.896666666666667,1.57,8.43,3.62
7.39,4.58,3.87,21.01,24.8,3.2622222222222224,13.27,5.75,4.9,5.45,9.15,6.04,20.15,23.98,95.88,3.93,7.88,41.67,11.3,0.8,4.313999999999999,1.12,7.62,2.5
