IHBAS-CPCB,Shadipur-CPCB,RK-Puram-DPCC,NSIT-Dwarka-CPCB
0.12,0.07,0.0,-0.02
0.13,0.07,0.0,0.03
0.28,0.05,0.0,0.0
0.13,0.05,0.03,-0.02
0.13,0.04,0.1,-0.07
0.13,0.06,0.0,-0.12
0.13,0.04,0.03,0.02
0.14,0.05,0.08,0.06
0.11,0.02,0.3,0.07
0.14,0.08,0.42,0.06
0.11,0.04,0.35,0.06
0.12,0.06,0.0,0.02
0.13,0.01,0.15,0.01
0.16,0.04,0.08,0.0
0.18,0.0,0.05,0.02
0.16,0.08,0.15,-0.2
0.15,0.05,0.0,-0.55
0.13,0.07,0.0,-0.36
0.1,0.05,0.0,-0.04
0.03,0.07,0.0,0.06
0.03,0.06,0.0,0.09
0.01,0.07,0.0,0.07
0.01,0.06,0.0,-0.11
-0.01,0.07,0.0,-0.24
-0.01,0.07,0.0,-0.3
0.0,0.07,0.0,-0.33
0.01,0.07,0.0,-0.37
0.01,0.07,0.0,-0.39
0.02,0.08,0.0,-0.46
0.02,0.07,0.0,-0.51
0.04,0.09,0.0,-0.53
0.1,0.05,0.0475,-0.47
0.19,0.07,0.08333333333333333,0.0
0.26,0.03,0.13,-0.01
0.29,0.05,0.175,-0.01
0.3,0.01,0.04,-0.03
0.3,0.03,0.09,-0.03
0.31,0.0,0.065,-0.02
0.33,0.03,0.0125,-0.01
0.36,-0.03,0.049999999999999996,0.04
0.28,0.02,0.0,0.02
0.27,0.01,0.0,0.0
0.23,0.04,0.0,-0.23
0.15,0.01,0.0,-0.53
0.1,0.04,0.0,-0.53
0.08,0.02,0.0,-0.54
0.06,0.04,0.0,-0.53
0.03,0.03,0.0,-0.52
0.04,0.04,0.0,-0.52
0.06,0.04,0.0,-0.54
0.07,0.04,0.0,-0.53
0.09,0.05,0.0,-0.49
0.1,0.04,0.0,-0.47
0.09,0.05,0.0,-0.45
0.17,0.04,0.004285714285714286,-0.42
0.15,0.05,0.09428571428571429,-0.2
0.29,0.04,0.2,0.14
0.34,0.04,0.305,0.14
0.3,0.01,0.39999999999999997,0.11
0.29,0.03,0.22333333333333336,0.05
0.38,0.01,0.32666666666666666,0.02
0.33,0.03,0.25,0.0
0.37,-0.01,0.11600000000000002,0.0
0.36,0.01,0.125,0.0
0.32,-0.01,0.076,0.0
0.36,0.03,0.0642857142857143,0.04
0.28,0.0,0.06,0.12
0.21,0.04,0.0,0.13
0.24,0.0,0.0,0.14
0.19,0.04,0.0,0.14
0.18,0.01,0.0,0.14
0.17,0.05,0.0,0.14
0.17,0.04,0.03461538461538462,0.14
0.17,0.04,0.0,0.14
0.21,0.04,0.03307692307692307,0.14
0.2,0.05,0.0,0.14
0.2,0.06,0.0,0.14
0.19,0.05,0.0,0.14
0.19,0.04,0.0,-0.11
0.2,0.02,0.0,-0.52
0.23,0.03,0.1688888888888889,-0.03
0.28,0.01,0.18555555555555556,0.08
0.42,0.03,0.2,0.07
0.24,0.02,0.14142857142857143,0.02
0.41,0.0,0.19714285714285712,-0.02
0.36,-0.02,0.15714285714285717,0.0
0.35,-0.02,0.0,0.03
0.36,-0.02,0.14666666666666667,0.04
0.28,-0.02,0.105,0.05
0.31,0.0,0.0,0.02
0.36,-0.01,0.0,0.05
0.26,0.02,0.0625,0.05
0.22,0.01,0.07571428571428572,0.04
0.17,0.03,0.06,0.04
0.18,0.0,0.0642857142857143,0.03
0.2,0.04,0.075,0.03
0.19,0.0,0.15,0.0
0.18,0.03,0.094,-0.08
0.18,-0.01,0.1825,-0.12
0.19,0.03,0.13999999999999999,-0.01
0.19,0.01,0.16625,0.02
0.2,0.04,0.1975,0.04
0.2,0.01,0.2,0.04
0.24,0.04,0.3,0.01
0.24,0.01,0.2,-0.01
0.23,0.02,0.23,-0.02
0.21,0.0,0.35,-0.01
0.49,0.06,0.12,-0.23
0.41,0.04,0.03,-0.5
0.14,0.05,0.05,-0.17
-0.13,0.04,0.0,0.15
-0.13,0.03,0.16375,0.08
