IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
169.72,128.5,216.97,155.84,214.54,175.78,148.95,212.5,136.28,114.8,315.62,221.05,180.45,141.85,121.7,103.3,162.05,219.5,140.68,106.78,245.47,144.95,154.93,149.65,80.75,155.03,145.56777777777776,142.35
167.22,143.07,209.2,161.64,121.71,189.27,246.85,243.28,222.38,136.95,118.72,158.25,196.03,158.8,118.1,102.42,251.25,149.0,136.12,130.4,114.45,247.67,162.4,225.35,78.0,182.62,140.77666666666667,303.88
175.81,199.47,146.23,226.09,105.37,206.75,129.15,196.12,64.22,223.02,236.02,176.9,31.46,172.97,244.7,141.4,97.2,233.25,208.18,100.62,178.65,81.05,147.75,272.57,224.5,48.6,129.07888888888888,104.05
122.83,104.55,187.35,88.78,177.38,58.77,114.07,145.25,73.62,92.2,312.1,263.3,114.72,98.73,160.7,131.9,133.55,111.0,55.03,100.23,200.4,83.5,91.2,105.85,83.5,131.9,144.79777777777778,157.4
144.06,150.8,173.35,122.58,148.09,128.93,89.88,183.18,79.78,114.33,311.88,182.2,144.23,126.88,100.22,98.25,122.22,127.75,98.92,103.5,174.2,77.48,113.45,91.8,65.75,158.85,159.78444444444443,165.35
143.47,143.95,186.45,154.25,205.46,167.52,143.1,216.8,85.32,124.28,309.75,189.7,154.38,131.3,126.85,109.9,151.02,135.75,127.45,104.55,202.93,101.15,168.2,131.3,67.0,158.34,142.48444444444445,173.77
217.55,161.0,211.22,135.15,163.51,185.88,162.43,227.5,95.03,118.15,315.33,169.15,172.0,101.33,195.38,109.4,139.65,180.75,145.38,85.75,189.45,47.38,181.53,112.28,88.5,173.42,141.39888888888888,181.5
66.32,156.18,191.4,76.15,93.22,112.0,80.67,57.23,40.25,110.97,310.9,169.35,107.71,56.27,164.03,82.9,81.65,135.75,125.35,82.5,152.05,43.62,92.6,57.95,91.5,158.61,145.3177777777778,206.92
118.76,158.96888888888893,184.85,80.94,91.49,108.65,98.82,109.6,50.77,97.33,284.08,162.93,85.67,67.35,186.65,69.4,104.58,118.75,96.65,87.75,169.38,70.58,110.05,60.77,65.75,144.59,136.52777777777777,249.97
154.6,153.70333333333332,178.72,128.15,153.17,128.73,118.55,159.0,68.3,113.88,298.55,188.9,124.99,125.05,131.88,90.92,120.4,111.5,116.15,96.15,190.18,87.52,126.8,88.95,74.25,126.35,149.80555555555554,306.0
154.6,161.03666666666666,191.78,142.93,146.06,149.68,116.25,176.35,74.52,113.27,306.62,203.0,130.9,107.95,110.18,114.58,151.6,146.0,114.07,101.7,200.28,79.08,114.62,89.6,84.25,137.86,144.63111111111112,147.48
107.31,156.43666666666664,169.35,127.19,73.73,142.15,106.7,144.82,76.67,100.47,187.05,150.4,100.38,97.93,174.53,92.88,123.42,195.0,116.9,92.62,188.15,68.53,103.65,73.78,111.25,148.99,157.28222222222223,19.8
83.96,186.48777777777778,200.32,127.08,72.67,90.72,94.47,57.38,42.6,68.78,131.0,131.93,58.92,75.68,216.75,34.8,42.17,158.75,98.95,41.52,180.53,50.1,102.7,133.62,188.75,164.07,6.8,176.9
73.03,163.9,128.35,76.17,67.52,128.15,69.85,41.23,23.85,52.7,71.12,119.88,37.44,37.42,256.45,63.8,187.12,125.25,96.5,129.75,70.05,115.6,57.4,327.83,133.25,119.25,24.1,39.15
